GLOBAL_TRIAL_NUM,COND_trial,COND_practice,COND_block,COND_trial_in_block,COND_word,COND_letters,COND_interrupt_pos,COND_interruption_condition,COND_nback_level,COND_stim_list,COND_stim_durations,COND_match_positions,COND_isi_times,COND_num_stims,COND_nback_total_duration,COND_short_break,COND_long_break,OUT_experiment_phase,OUT_block_number,OUT_target_word,OUT_target_word_length,OUT_interruption_condition,OUT_interrupt_positions,OUT_resumption_lag,OUT_entered_text,OUT_typing_correct,OUT_time_on_primary_task,OUT_nback_hits,OUT_nback_misses,OUT_nback_false_alarms,OUT_nback_correct_rejections,OUT_nback_accuracy,OUT_time_estimate_seconds,OUT_actual_trial_duration,OUT_actual_trial_duration_sec,OUT_time_estimation_ratio,OUT_gender,OUT_age,OUT_normalized_absolute_error,OUT_estimation_direction,OUT_time_per_letter,OUT_typing_distance
1,1,True,0,1,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,1,"[""4"", ""1"", ""1"", ""4"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.33, 0.32, 0.33, 0.33, 0.33]",5,7.64,False,False,practice,1,SOMETHING,9,sequential,[],,LSONETHIN,False,9.198516416000077,1.0,0.0,0.0,4.0,1.0,21,18.53392699999995,19.0,1.105263157894737,,,0.10526315789473684,1,1.022057379555564,3
2,2,True,0,2,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[],sequential,2,"[""2"", ""6"", ""3"", ""6"", ""7"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.4, 0.35, 0.35, 0.34, 0.37, 0.32]",6,9.33,False,False,practice,1,THROUGH,7,sequential,[],,THROUGH,True,8.770428917000118,1.0,0.0,1.0,4.0,0.8333333333333334,19,19.79643437499999,20.0,0.95,,,0.05,-1,1.2529184167143026,0
3,3,True,0,3,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[6],interrupted,1,"[""9"", ""9"", ""4"", ""4"", ""2"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 3]","[0.27, 0.25, 0.29, 0.27, 0.25, 0.29]",6,8.82,False,False,practice,1,INCLUDING,9,interrupted,[6],1.1321088330000748,INCLUDING,True,8.741415208000035,2.0,0.0,0.0,4.0,1.0,23,19.269821541000056,19.0,1.2105263157894737,,,0.21052631578947367,1,0.9712683564444483,0
4,4,True,0,4,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[2],interrupted,2,"[""4"", ""2"", ""9"", ""2""]","[1.2, 1.2, 1.2, 1.2]",[3],"[0.35, 0.37, 0.37, 0.4]",4,6.29,False,False,practice,1,BECAUSE,7,interrupted,[2],1.1036299579996012,BECAUSE,True,8.589304749999883,1.0,0.0,0.0,3.0,1.0,22,16.558051041,17.0,1.2941176470588236,,,0.29411764705882354,1,1.227043535714269,0
5,5,True,0,5,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,1,"[""5"", ""5"", ""8"", ""4"", ""0"", ""0"", ""2"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[1, 5]","[0.39, 0.33, 0.36, 0.4, 0.36, 0.4, 0.39, 0.34]",8,12.57,False,False,practice,1,ANYTHING,8,sequential,[],,ANYTHING,True,7.147918499999832,2.0,0.0,0.0,6.0,1.0,18,21.5184903749996,22.0,0.8181818181818182,,,0.18181818181818182,-1,0.893489812499979,0
6,6,True,0,6,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[7],interrupted,2,"[""4"", ""6"", ""4"", ""7"", ""7"", ""8"", ""9"", ""8"", ""7""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 7]","[0.32, 0.32, 0.34, 0.33, 0.34, 0.29, 0.35, 0.3, 0.34]",9,13.73,False,False,practice,1,NATIONAL,8,interrupted,[7],1.30271916699985,NATIONAL,True,8.465273582999998,2.0,0.0,0.0,7.0,1.0,19,23.927936000000045,24.0,0.7916666666666666,,,0.20833333333333334,-1,1.0581591978749998,0
7,7,True,0,7,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[5],interrupted,1,"[""1"", ""4"", ""4"", ""5"", ""0"", ""9"", ""9"", ""6""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 6]","[0.27, 0.27, 0.29, 0.28, 0.25, 0.25, 0.26, 0.27]",8,11.74,False,False,practice,1,SHOULD,6,interrupted,[5],0.9798502909998206,SHOULD,True,6.417682791000061,2.0,0.0,0.0,6.0,1.0,22,19.97834654200005,20.0,1.1,,,0.1,1,1.0696137985000103,0
8,8,True,0,8,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[],sequential,2,"[""5"", ""4"", ""8"", ""2"", ""8"", ""3"", ""7"", ""3"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 7]","[0.3, 0.34, 0.3, 0.3, 0.31, 0.32, 0.32, 0.32, 0.31]",9,13.62,False,False,practice,1,PEOPLE,6,sequential,[],,PEOPLE,True,5.68961095800023,2.0,0.0,0.0,7.0,1.0,21,21.131229500000245,21.0,1.0,,,0.0,0,0.9482684930000383,0
9,1,False,1,1,AMERICAN,"[""A"", ""M"", ""E"", ""R"", ""I"", ""C"", ""A"", ""N""]",[],sequential,2,"[""6"", ""4"", ""8"", ""4"", ""0"", ""3"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 6]","[0.25, 0.26, 0.25, 0.25, 0.25, 0.25, 0.25]",7,10.16,False,False,main,1,AMERICAN,8,sequential,[],,AMERICAN,True,6.755670000000009,2.0,0.0,0.0,5.0,1.0,17,18.660711083000024,19.0,0.8947368421052632,,,0.10526315789473684,-1,0.8444587500000011,0
10,2,False,1,2,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[],sequential,1,"[""2"", ""8"", ""8"", ""2"", ""1""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[2],"[0.3, 0.28, 0.3, 0.27, 0.29]",5,7.44,False,False,main,1,SOMETHING,9,sequential,[],,SOMETHING,True,7.436697874999936,1.0,0.0,0.0,4.0,1.0,18,16.571085333000156,17.0,1.0588235294117647,,,0.058823529411764705,1,0.8262997638888818,0
