trial,practice,block,trial_in_block,word,letters,interrupt_pos,interruption_condition,n_back,stim_list,stim_durations,match_positions,isi_times,num_stims,nback_total_duration,short_break,long_break
1,True,0,1,PEOPLE,"[""P"", ""E"", ""O"", ""P"", ""L"", ""E""]",[],sequential,1,"[""0"", ""0"", ""5"", ""4"", ""5""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[1],"[0.35, 0.32, 0.33, 0.39, 0.34]",5,7.73,False,False
2,True,0,2,NATIONAL,"[""N"", ""A"", ""T"", ""I"", ""O"", ""N"", ""A"", ""L""]",[],sequential,2,"[""0"", ""2"", ""9"", ""0"", ""9"", ""5"", ""9"", ""8""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[4, 6]","[0.25, 0.25, 0.25, 0.26, 0.27, 0.28, 0.25, 0.25]",8,11.66,False,False
3,True,0,3,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[],sequential,2,"[""9"", ""2"", ""4"", ""4"", ""4""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[4],"[0.36, 0.36, 0.37, 0.32, 0.32]",5,7.73,False,False
4,True,0,4,BECAUSE,"[""B"", ""E"", ""C"", ""A"", ""U"", ""S"", ""E""]",[],sequential,2,"[""3"", ""6"", ""3"", ""0"", ""0"", ""0"", ""5"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.35, 0.33, 0.39, 0.4, 0.4, 0.39, 0.39, 0.39]",8,12.64,False,False
5,True,0,5,SHOULD,"[""S"", ""H"", ""O"", ""U"", ""L"", ""D""]",[3],interrupted,2,"[""6"", ""1"", ""6"", ""4"", ""6"", ""1"", ""4"", ""3""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 4]","[0.37, 0.32, 0.4, 0.33, 0.36, 0.4, 0.3, 0.37]",8,12.45,False,False
6,True,0,6,SOMETHING,"[""S"", ""O"", ""M"", ""E"", ""T"", ""H"", ""I"", ""N"", ""G""]",[5],interrupted,1,"[""2"", ""0"", ""0"", ""9"", ""1"", ""1"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[2, 5]","[0.25, 0.26, 0.26, 0.26, 0.25, 0.26, 0.26]",7,10.2,False,False
7,True,0,7,ANYTHING,"[""A"", ""N"", ""Y"", ""T"", ""H"", ""I"", ""N"", ""G""]",[7],interrupted,1,"[""9"", ""3"", ""7"", ""7"", ""0"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.29, 0.27, 0.28, 0.26, 0.27, 0.26]",6,8.83,False,False
8,True,0,8,THROUGH,"[""T"", ""H"", ""R"", ""O"", ""U"", ""G"", ""H""]",[4],interrupted,1,"[""9"", ""4"", ""3"", ""3"", ""0""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[3],"[0.34, 0.33, 0.33, 0.29, 0.3]",5,7.59,False,False
1,False,1,1,INCLUDING,"[""I"", ""N"", ""C"", ""L"", ""U"", ""D"", ""I"", ""N"", ""G""]",[3],interrupted,1,"[""6"", ""9"", ""7"", ""7"", ""8"", ""8"", ""3"", ""2""]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]","[3, 5]","[0.32, 0.3, 0.34, 0.34, 0.29, 0.27, 0.37, 0.32]",8,12.15,False,False
2,False,1,2,REMEMBER,"[""R"", ""E"", ""M"", ""E"", ""M"", ""B"", ""E"", ""R""]",[],sequential,1,"[""6"", ""6"", ""3"", ""2"", ""9""]","[1.2, 1.2, 1.2, 1.2, 1.2]",[1],"[0.27, 0.28, 0.29, 0.28, 0.31]",5,7.43,False,False
