GLOBAL_TRIAL_NUM,participant_id,trial_num,difficulty,nback_level,n_stimuli,n_targets,accuracy,missed_rate,hits,misses,false_alarms,correct_rejections,actual_duration_s,subjective_duration_s,so_ratio,participant_cv
1,sim_3,1,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.032,84.00000000000001,0.07911339139310417
2,sim_3,2,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.07911339139310417
3,sim_3,3,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.07911339139310417
4,sim_3,4,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.992,104.0,0.07911339139310417
5,sim_3,5,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.8,100.0,0.07911339139310417
6,sim_3,6,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,5.5680000000000005,116.00000000000001,0.07911339139310417
7,sim_3,7,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.992,104.0,0.07911339139310417
8,sim_3,8,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.07911339139310417
9,sim_3,9,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.992,104.0,0.07911339139310417
10,sim_3,10,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,5.376000000000001,112.00000000000003,0.07911339139310417
11,sim_3,11,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.07911339139310417
12,sim_3,12,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.07911339139310417
13,sim_3,13,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.07911339139310417
14,sim_3,14,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.07911339139310417
15,sim_3,15,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.07911339139310417
16,sim_3,16,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.07911339139310417
17,sim_3,17,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.992,104.0,0.07911339139310417
18,sim_3,18,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.07911339139310417
19,sim_3,19,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.07911339139310417
20,sim_3,20,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.07911339139310417
