GLOBAL_TRIAL_NUM,participant_id,trial_num,word,word_length,letters_typed,completed,accuracy,completion_rate,cycles_used,actual_duration_s,subjective_duration_s,so_ratio,time_per_letter,participant_cv
1,sim_1,1,SIMPLE,6,6,True,1.0,1.0,217,10.85,10.752000000000002,99.09677419354841,1.8083333333333333,0.19352689732968933
2,sim_1,2,ANYTHING,8,8,True,1.0,1.0,245,12.25,11.328,92.47346938775509,1.53125,0.19352689732968933
3,sim_1,3,HANDLE,6,6,True,1.0,1.0,202,10.1,9.216000000000001,91.24752475247526,1.6833333333333333,0.19352689732968933
4,sim_1,4,CHARACTER,9,9,True,1.0,1.0,331,16.55,15.552,93.96978851963745,1.838888888888889,0.19352689732968933
5,sim_1,5,ANOTHER,7,7,True,1.0,1.0,222,11.1,9.792000000000002,88.21621621621624,1.5857142857142856,0.19352689732968933
6,sim_1,6,FACTORY,7,7,True,1.0,1.0,232,11.6,10.56,91.0344827586207,1.657142857142857,0.19352689732968933
7,sim_1,7,COMPUTER,8,8,True,1.0,1.0,259,12.95,12.48,96.37065637065638,1.61875,0.19352689732968933
8,sim_1,8,UNDERSTAND,10,10,True,1.0,1.0,363,18.15,18.624000000000002,102.6115702479339,1.815,0.19352689732968933
9,sim_1,9,COMPUTER,8,8,True,1.0,1.0,248,12.4,11.136000000000001,89.80645161290323,1.55,0.19352689732968933
10,sim_1,10,ANOTHER,7,7,True,1.0,1.0,231,11.55,10.56,91.42857142857143,1.6500000000000001,0.19352689732968933
11,sim_1,11,HANDLE,6,6,True,1.0,1.0,189,9.45,8.448,89.3968253968254,1.575,0.19352689732968933
12,sim_1,12,COMPUTER,8,8,True,1.0,1.0,250,12.5,11.904,95.232,1.5625,0.19352689732968933
13,sim_1,13,ANOTHER,7,7,True,1.0,1.0,193,9.65,8.064,83.56476683937824,1.3785714285714286,0.19352689732968933
14,sim_1,14,ELEPHANT,8,8,True,1.0,1.0,252,12.6,12.288,97.52380952380952,1.575,0.19352689732968933
15,sim_1,15,ANOTHER,7,7,True,1.0,1.0,229,11.45,10.752000000000002,93.9039301310044,1.6357142857142857,0.19352689732968933
16,sim_1,16,CHARACTER,9,9,True,1.0,1.0,291,14.55,13.632000000000001,93.69072164948454,1.6166666666666667,0.19352689732968933
17,sim_1,17,MIDDLE,6,6,True,1.0,1.0,208,10.4,10.56,101.53846153846153,1.7333333333333334,0.19352689732968933
18,sim_1,18,ANOTHER,7,7,True,1.0,1.0,243,12.15,10.56,86.91358024691358,1.7357142857142858,0.19352689732968933
19,sim_1,19,ANOTHER,7,7,True,1.0,1.0,224,11.2,10.368,92.57142857142858,1.5999999999999999,0.19352689732968933
20,sim_1,20,HOMEMADE,8,8,True,1.0,1.0,253,12.65,11.136000000000001,88.03162055335969,1.58125,0.19352689732968933
21,sim_1,21,EXAMPLE,7,7,True,1.0,1.0,269,13.45,13.632000000000001,101.35315985130113,1.9214285714285713,0.19352689732968933
22,sim_1,22,FOREVER,7,7,True,1.0,1.0,225,11.25,10.368,92.16,1.6071428571428572,0.19352689732968933
23,sim_1,23,IMPORTANT,9,9,True,1.0,1.0,247,12.35,10.368,83.9514170040486,1.3722222222222222,0.19352689732968933
24,sim_1,24,CHARACTER,9,9,True,1.0,1.0,278,13.9,12.288,88.40287769784173,1.5444444444444445,0.19352689732968933
25,sim_1,25,FACTORY,7,7,True,1.0,1.0,215,10.75,10.56,98.23255813953489,1.5357142857142858,0.19352689732968933
26,sim_1,26,ANOTHER,7,7,True,1.0,1.0,258,12.9,13.056000000000001,101.2093023255814,1.842857142857143,0.19352689732968933
27,sim_1,27,COMPUTER,8,8,True,1.0,1.0,252,12.6,10.944,86.85714285714286,1.575,0.19352689732968933
28,sim_1,28,ANOTHER,7,7,True,1.0,1.0,214,10.7,9.6,89.7196261682243,1.5285714285714285,0.19352689732968933
29,sim_1,29,ANOTHER,7,7,True,1.0,1.0,208,10.4,9.024,86.76923076923076,1.4857142857142858,0.19352689732968933
30,sim_1,30,DIAMETERS,9,9,True,1.0,1.0,310,15.5,15.744000000000002,101.5741935483871,1.7222222222222223,0.19352689732968933
31,sim_1,31,FOREVER,7,7,True,1.0,1.0,200,10.0,8.832000000000003,88.32000000000002,1.4285714285714286,0.19352689732968933
32,sim_1,32,FACTORY,7,7,True,1.0,1.0,232,11.6,11.136000000000001,96.00000000000001,1.657142857142857,0.19352689732968933
33,sim_1,33,BUNDLE,6,6,True,1.0,1.0,199,9.95,9.216000000000001,92.62311557788946,1.6583333333333332,0.19352689732968933
34,sim_1,34,ANYTHING,8,8,True,1.0,1.0,283,14.15,13.056000000000001,92.26855123674912,1.76875,0.19352689732968933
35,sim_1,35,HANDLE,6,6,True,1.0,1.0,214,10.7,11.136000000000001,104.07476635514021,1.7833333333333332,0.19352689732968933
36,sim_1,36,ANYTHING,8,8,True,1.0,1.0,255,12.75,11.904,93.36470588235294,1.59375,0.19352689732968933
37,sim_1,37,EXAMPLE,7,7,True,1.0,1.0,229,11.45,11.328,98.93449781659389,1.6357142857142857,0.19352689732968933
38,sim_1,38,IMPORTANT,9,9,True,1.0,1.0,294,14.7,13.824,94.04081632653062,1.6333333333333333,0.19352689732968933
39,sim_1,39,NOTEBOOK,8,8,True,1.0,1.0,291,14.55,14.4,98.96907216494844,1.81875,0.19352689732968933
40,sim_1,40,HANDLE,6,6,True,1.0,1.0,172,8.6,7.872000000000001,91.53488372093025,1.4333333333333333,0.19352689732968933
